url,title,h1,h2s,top_words,top_bigrams,word_count
https://irvineweeklydigest.com,Home - Irvine Weekly Digest,,"Banksy Totterdown Bristol Street Art: Meaning, History, and Urban Influence | Tags Cloud","pangeaiimp(37), gmail(37), com(37), explained(18), art(16), modern(16), lifestyle(15), skills(12), step(12), style(11), home(10), travel(10), space(10), history(9), life(9), lighting(9), transform(9), guide(9), how(9), design(8)","pangeaiimp gmail(37), gmail com(37), water-based murals(8), limited edition(7), pendant lights(7), life drawing(7), drawing class(7), become successful(6), successful photographer(6), photographer skills(6), skills tools(6), class explained(6), explained improve(6), art skills(6), skills step(6)",988
https://irvineweeklydigest.com/,Home - Irvine Weekly Digest,,"Banksy Totterdown Bristol Street Art: Meaning, History, and Urban Influence | Tags Cloud","pangeaiimp(37), gmail(37), com(37), explained(18), art(16), modern(16), lifestyle(15), skills(12), step(12), style(11), home(10), travel(10), space(10), history(9), life(9), lighting(9), transform(9), guide(9), how(9), design(8)","pangeaiimp gmail(37), gmail com(37), water-based murals(8), limited edition(7), pendant lights(7), life drawing(7), drawing class(7), become successful(6), successful photographer(6), photographer skills(6), skills tools(6), class explained(6), explained improve(6), art skills(6), skills step(6)",988
https://irvineweeklydigest.com/feed/,Irvine Weekly Digest, |  |  |  |  |  |  |  |  | ,Who Is Nafir and His Artistic Style | Meaning Behind “Emptiness of You” | Concept and Inspiration of the Artwork | Visual Style and Artistic Elements | Symbolism in the Artwork | Why It Is a Limited Edition Artwork | Value and Appeal for Art Collectors | Emotional Impact on Viewers,"can(119), lighting(105), also(78), music(74), art(68), how(65), emotional(64), modern(63), often(60), installations(60), simple(58), design(56), water-based(56), first(53), apple(51), artwork(50), space(50), life(49), create(49), water(49)","irvine weekly(42), weekly digest(42), water-based murals(38), pendant lights(37), irvineweeklydigest com(34), https irvineweeklydigest(33), real estate(30), apple music(30), life drawing(26), first appeared(20), appeared irvine(20), appeared first(20), first irvine(20), over time(19), drawing class(17)",12576
https://irvineweeklydigest.com/comments/feed/,Comments for Irvine Weekly Digest,,,"irvine(2), https(2), irvineweeklydigest(2), com(2), comments(1), weekly(1), digest(1), explore(1), essence(1), art(1), artisan(1), culture(1), crafting(1), stories(1), inspiring(1), creativity(1), celebrating(1), diversity(1), fri(1), hourly(1)","irvineweeklydigest com(2), irvine weekly(1), weekly digest(1), digest https(1), https irvineweeklydigest(1), com explore(1), essence irvine(1), irvine art(1), artisan culture(1), com crafting(1), crafting stories(1), stories inspiring(1), inspiring creativity(1), creativity celebrating(1), celebrating diversity(1)",31
https://irvineweeklydigest.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Firvineweeklydigest.com%2F,,,,"com(4), https(3), irvineweeklydigest(3), irvine(2), weekly(2), digest(2), home(2), team(2), building(2), version(1), pangeaiimp(1), gmail(1), author(1), pangeaiimpgmail-com(1), title(1), type(1), rich(1), width(1), height(1), html(1)","https irvineweeklydigest(3), irvineweeklydigest com(3), irvine weekly(2), weekly digest(2), team building(2), version irvine(1), digest https(1), com pangeaiimp(1), pangeaiimp gmail(1), gmail com(1), com https(1), com author(1), author pangeaiimpgmail-com(1), pangeaiimpgmail-com title(1), title home(1)",88
https://irvineweeklydigest.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Firvineweeklydigest.com%2F&#038;format=xml,,,,"com(4), https(3), irvineweeklydigest(3), irvine(2), weekly(2), digest(2), home(2), team(2), building(2), version(1), pangeaiimp(1), gmail(1), author(1), pangeaiimpgmail-com(1), title(1), type(1), rich(1), width(1), height(1), html(1)","https irvineweeklydigest(3), irvineweeklydigest com(3), irvine weekly(2), weekly digest(2), team building(2), version irvine(1), digest https(1), com pangeaiimp(1), pangeaiimp gmail(1), gmail com(1), com https(1), com author(1), author pangeaiimpgmail-com(1), pangeaiimpgmail-com title(1), title home(1)",88
https://irvineweeklydigest.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1.5,,,,"form(12), response-output(11), display(7), none(6), position(5), border(5), opacity(5), input(5), type(5), width(4), margin(4), padding(4), border-color(4), spinner(4), hidden(3), height(3), relative(3), before(3), cursor(3), absolute(2)","response-output form(5), input type(5), response-output border-color(4), display none(3), position relative(3), position absolute(2), margin padding(2), padding border(2), none form(2), border solid(2), form submitting(2), top left(2), display inline-block(2), spinner visibility(2), hidden display(2)",207
https://irvineweeklydigest.com/wp-content/plugins/errin-extra/assets/css/custom-elements.css?ver=6.9.1,,,,"height(47), color(45), hover(42), img(41), font-size(38), margin-bottom(33), width(33), home-top-thumbnail-wrap(32), plyr--audio(32), display(31), home-top-block-inner(31), post-title(31), plyr(31), important(30), line-height(27), font-weight(26), all(25), center(18), after(18), padding(15)","plyr plyr--audio(31), home-top-block-inner home-top-thumbnail-wrap(28), img height(17), width height(16), overflow hidden(15), home-top-thumbnail-wrap img(15), all ease(15), plyr--audio data-plyr(15), data-plyr play(15), font-weight line-height(13), display flex(13), transition all(13), font-size line-height(13), hover color(11), object-fit cover(11)",1257
https://irvineweeklydigest.com/wp-content/themes/errin/assets/css/icomoon-font.css?ver=6.9.1,,,,"before(1821), content(1821), icon-(246), icon-grid-(21), icon-message-(16), icon-receipt-(15), icon-document-(15), icon-money-(14), icon-cloud-(13), icon-wallet-(12), icon-note-(11), icon-maximize-(11), icon-video-(11), icon-group-(11), icon-chart-(10), icon-arrow-(10), icon-calendar-(10), icon-element-(9), icon-folder-(9), icon-frame-(9)","before content(1821), icon- before(246), content icon-(202), icon-grid- before(21), content icon-message-(16), icon-message- before(16), content icon-receipt-(15), icon-receipt- before(15), content icon-grid-(15), icon-document- before(15), content icon-money-(14), icon-money- before(14), icon-cloud- before(13), content icon-wallet-(12), icon-wallet- before(12)",5761
https://irvineweeklydigest.com/wp-content/themes/errin/assets/css/remixicon.css?ver=6.9.1,,,,"before(2443), content(2443), fill(239), line(239), ri-(20), font-size(15), ri-home-(14), remixicon(12), ri-delete-bin-(12), ri-layout-(10), ri-number-(10), ri-settings-(10), ri-user-(10), ri-briefcase-(8), ri-chat-(8), ri-coupon-(8), ri-folder-(8), ri-loader-(8), ri-map-pin-(8), ri-menu-(8)","before content(2443), fill before(239), line before(239), content ri-home-(14), content ri-delete-bin-(12), font-size ri-(10), ri- font-size(10), content ri-layout-(10), content ri-number-(10), ri-number- before(10), content ri-settings-(10), content ri-user-(10), content ri-(9), content ri-chat-(8), content ri-folder-(8)",8144
https://irvineweeklydigest.com/wp-content/themes/errin/assets/css/animate.css?ver=6.9.1,,,,"transform(196), opacity(122), keyframes(77), animation-name(77), animation-timing-function(35), transform-origin(31), none(21), perspective(21), cubic-bezier(20), bottom(20), visible(14), center(12), left(12), skewx(11), right(9), animated(8), ease-in(8), important(8), visibility(8), skewy(7)","opacity transform(79), transform transform(39), transform opacity(38), transform none(21), transform perspective(21), animation-timing-function cubic-bezier(20), opacity opacity(13), bottom transform(13), transform animation-timing-function(12), transform skewx(11), opacity transform-origin(10), transform-origin center(9), cubic-bezier opacity(9), perspective animation-timing-function(9), transform-origin left(9)",1127
https://irvineweeklydigest.com/wp-content/themes/errin/assets/css/magnific-popup.css?ver=6.9.1,,,,"top(18), opacity(18), width(16), position(14), display(14), none(13), cursor(13), height(12), mfp-close(12), left(11), auto(11), mfp-arrow(11), padding(10), mfp-content(10), all(10), absolute(9), color(9), right(9), mfp-figure(8), line-height(8)","width height(9), position absolute(9), all ease-out(7), display block(6), display none(5), top left(4), left width(4), position fixed(4), text-align center(4), transform scale(4), mfp-bg opacity(4), transition all(4), left top(3), box-sizing border-box(3), cursor auto(3)",592
https://irvineweeklydigest.com/wp-content/themes/errin/assets/css/plyr.css?ver=6.9.1,,,,"var(225), rgba(74), background(53), calc(53), height(47), none(45), width(44), plyr--full-ui(41), position(40), border-radius(40), plyr-control-spacing(40), display(37), box-shadow(36), ease(35), transparent(34), input(33), type(32), range(32), color(31), padding(31)","calc var(50), var plyr-control-spacing(40), input type(32), type range(32), rgba rgba(25), position absolute(23), plyr--full-ui input(18), var plyr-color-main(18), position relative(16), background var(16), display none(16), var plyr-range-track-height(16), var plyr-range-thumb-height(14), transform translatey(13), color var(13)",2321
https://irvineweeklydigest.com/wp-content/themes/errin/assets/css/slick.css?ver=6.9.1,,,,"none(11), display(10), slick-slide(8), block(6), slick-track(6), slick-list(4), slick-slider(3), position(3), relative(3), hidden(3), auto(3), slick-loading(3), img(3), pan-y(2), transparent(2), dragging(2), cursor(2), left(2), after(2), visibility(2)","display block(6), position relative(3), slick-slide display(3), display none(3), relative display(2), slick-track after(2), visibility hidden(2), img display(2), slider slick-slider(1), slick-slider position(1), block box-sizing(1), box-sizing border-box(1), border-box webkit-user-select(1), webkit-user-select none(1), none moz-user-select(1)",127
https://irvineweeklydigest.com/wp-content/themes/errin/assets/css/slicknav.css?ver=6.9.1,,,,"display(9), margin(8), block(6), padding(6), color(6), fff(6), float(4), bar(4), height(4), background(4), webkit-border-radius(4), moz-border-radius(4), border-radius(4), rgba(4), font-size(4), line-height(3), left(3), width(3), none(3), slicknav(2)","display block(6), color fff(5), webkit-border-radius moz-border-radius(4), moz-border-radius border-radius(4), float left(3), width height(3), left color(2), clear both(2), font-size margin(2), display inline(2), fff margin(2), text-decoration none(2), padding margin(2), hover webkit-border-radius(2), border-radius background(2)",147
