url,title,h1,h2s,top_words,top_bigrams,word_count
https://losangelesinfluence.com,Los Angeles Influence - &quot;Shaping the Scene &ndash; Capturing the Pulse of Los Angeles Influence&quot;,Tyler Ferdinand Spotted Shopping in Beverly Hills,The Latest Intel | Choose Your Arena | Editor's Choices | Actions | Selected media actions | {{ data.message }} | Drop files to upload | Uploading,"ferdinand(9), media(7), brian(7), day(6), month(6), year(6), amp(6), articles(6), explore(6), arts(4), read(4), everforward(4), fitness(4), los(3), angeles(3), influence(3), business(3), beverly(3), hills(3), jun(3)","brian ferdinand(7), month year(6), articles explore(6), los angeles(3), angeles influence(3), beverly hills(3), day jun(3), jun month(3), alysha campbell(3), arts amp(3), amp culture(3), shreyans zaveri(3), read full(3), full feature(3), home fitness(3)",382
https://losangelesinfluence.com/,Los Angeles Influence - &quot;Shaping the Scene &ndash; Capturing the Pulse of Los Angeles Influence&quot;,Tyler Ferdinand Spotted Shopping in Beverly Hills,The Latest Intel | Choose Your Arena | Editor's Choices | Actions | Selected media actions | {{ data.message }} | Drop files to upload | Uploading,"ferdinand(9), media(7), brian(7), day(6), month(6), year(6), amp(6), articles(6), explore(6), arts(4), read(4), everforward(4), fitness(4), los(3), angeles(3), influence(3), business(3), beverly(3), hills(3), jun(3)","brian ferdinand(7), month year(6), articles explore(6), los angeles(3), angeles influence(3), beverly hills(3), day jun(3), jun month(3), alysha campbell(3), arts amp(3), amp culture(3), shreyans zaveri(3), read full(3), full feature(3), home fitness(3)",382
https://losangelesinfluence.com/page/2/,Los Angeles Influence - Page 2 of 87 - &quot;Shaping the Scene &ndash; Capturing the Pulse of Los Angeles Influence&quot;,Tyler Ferdinand Spotted Shopping in Beverly Hills,The Latest Intel | Choose Your Arena | Editor's Choices | Actions | Selected media actions | {{ data.message }} | Drop files to upload | Uploading,"ferdinand(9), media(7), brian(7), day(6), month(6), year(6), amp(6), articles(6), explore(6), arts(4), read(4), everforward(4), fitness(4), los(3), angeles(3), influence(3), business(3), beverly(3), hills(3), jun(3)","brian ferdinand(7), month year(6), articles explore(6), los angeles(3), angeles influence(3), beverly hills(3), day jun(3), jun month(3), alysha campbell(3), arts amp(3), amp culture(3), shreyans zaveri(3), read full(3), full feature(3), home fitness(3)",383
https://losangelesinfluence.com/wp-content/plugins/co-author/public/css/co-author-public.css?ver=1.0.0,,,,"all(1), css(1), public-facing(1), functionality(1), included(1), file(1)",public-facing functionality(1),11
https://losangelesinfluence.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1.6,,,,"form(12), response-output(11), display(7), none(6), position(5), border(5), opacity(5), input(5), type(5), width(4), margin(4), padding(4), border-color(4), spinner(4), hidden(3), height(3), normal(3), relative(3), before(3), cursor(3)","response-output form(5), input type(5), response-output border-color(4), display none(3), position relative(3), position absolute(2), margin padding(2), padding border(2), normal important(2), none form(2), border solid(2), form submitting(2), top left(2), display inline-block(2), spinner visibility(2)",210
https://losangelesinfluence.com/wp-content/plugins/wp-user-profile-avatar/assets/lib/fontawesome/all.css?ver=4.4.0,,,,"before(2468), content(2468), var(155), webkit-transform(53), transform(53), rotate(52), scale(50), fa-(33), translatey(28), normal(24), fonts(21), url(20), format(20), font(17), awesome(17), font-size(17), fa-animation-direction(17), fa-animation-duration(16), fa-animation-iteration-count(16), infinite(16)","before content(2468), webkit-transform rotate(26), transform rotate(26), webkit-transform scale(25), transform scale(25), rotate transform(25), scale var(20), url fonts(20), rotate webkit-transform(18), content fa-(18), font awesome(17), fa- before(17), var fa-animation-direction(16), fa-animation-direction normal(16), var fa-animation-duration(16)",8646
https://losangelesinfluence.com/wp-includes/css/buttons.min.css?ver=7.0,,,,"wp-core-ui(90), button(48), var(43), color(18), wp-admin-theme-color(18), button-primary(17), wp-admin-theme-color-darker-(16), none(15), background(15), line-height(14), border-color(14), active(13), box-shadow(13), button-group(12), focus(12), button-secondary(11), padding(11), important(11), hover(10), disabled(10)","wp-core-ui button(31), var wp-admin-theme-color(18), wp-core-ui button-primary(16), var wp-admin-theme-color-darker-(16), wp-core-ui button-group(12), border-color var(12), wp-core-ui button-secondary(11), color var(9), button wp-core-ui(7), line-height min-height(7), wp-core-ui input(7), input type(7), disabled wp-core-ui(7), focus wp-core-ui(6), box-shadow none(6)",643
https://losangelesinfluence.com/wp-includes/css/dashicons.min.css?ver=7.0,,,,"before(350), content(349), dashicons(6), url(4), fonts(3), format(3), font-family(2), src(2), eot(2), font-weight(2), font-style(2), normal(2), dashicons-admin-site-(2), dashicons-menu-(2), dashicons-video-(2), file(1), auto-generated(1), font-face(1), iefix(1), embedded-opentype(1)","before content(349), url fonts(3), fonts dashicons(3), font-family dashicons(2), src url(2), dashicons eot(2), font-weight font-style(2), font-style normal(2), content dashicons-admin-site-(2), dashicons-admin-site- before(2), content dashicons-menu-(2), dashicons-menu- before(2), content dashicons-video-(2), dashicons-video- before(2), file auto-generated(1)",1214
https://losangelesinfluence.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.17,,,,"width(35), position(30), height(27), background(24), display(23), left(22), absolute(21), hsla(18), translatex(18), margin(17), transparent(17), background-position(16), padding(13), none(13), webkit-transform(13), transform(13), button(13), top(12), center(12), hidden(11)","position absolute(21), overflow hidden(10), button background-position(9), position relative(8), background hsla(8), hidden padding(7), display none(7), absolute top(7), display block(7), cursor pointer(6), height left(6), color fff(6), webkit-transform translatex(6), translatex ms-transform(6), ms-transform translatex(6)",845
https://losangelesinfluence.com/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=7.0,,,,"max-width(14), mejs-controls(12), background(10), media-embed-details(10), color(9), display(8), wp-playlist(8), font-size(7), none(6), padding(6), mejs-container(5), mejs-horizontal-volume-slider(5), fff(5), auto(5), embed-media-settings(5), overflow(5), setting(5), line-height(5), wp-playlist-current-item(5), mejs-time-rail(4)","mejs-controls mejs-horizontal-volume-slider(5), font-size line-height(5), mejs-controls mejs-time-rail(4), display inline-block(4), media-embed-details embed-media-settings(4), media-embed-details setting(4), overflow hidden(4), background fff(3), max-width wp-playlist(3), color wp-playlist-dark(3), hidden text-overflow(3), text-overflow ellipsis(3), ellipsis white-space(3), white-space nowrap(3), mejs-horizontal-volume-slider mejs-horizontal-volume-current(2)",306
