url,title,h1,h2s,top_words,top_bigrams,word_count
https://sanfranciscobriefing.com,"San Francisco Briefing - San Francisco Briefing: Your source for the stories, insights, and trends shaping the Bay Area.",,"San Francisco Briefing, Commercial Real Estate News, and Beverly Hills Weekly Mag Announce Exclusive Interview With Brian Ferdinand on Intentional Leadership and Market Discipline | San Francisco Briefing Exclusive: Brian Ferdinand on Building a Life With Intention | Long Island Roofing Costs in 2025: A Homeowner’s Essential Guide | Neutron Labs Calls Out Apple for Unfair App Store Ban, Urges Transparency | How to Repair a Leaky Roof | Navigating Roof Insurance Claims in Texas: A Guide to Deductibles and Depreciation | Dr. Steinbrech Announces 2024’s Top Male Celebrity Influences in Plastic Surgery | At the Pinnacle of Artistry: Danilo Bonazza, a Global Leader in Mosaic Art","editorial(14), new(12), staff(10), san(9), francisco(9), december(9), briefing(8), width(8), sidebar(8), block(8), york(6), contact(5), policy(5), brian(5), ferdinand(5), roof(5), february(5), january(5), stories(4), focus(4)","editorial staff(10), san francisco(9), francisco briefing(8), new york(6), staff december(6), brian ferdinand(5), york focus(4), local new(4), new highlights(4), opinion pieces(4), editorial process(4), breaking headlines(4), narrow width(4), default width(4), right sidebar(4)",583
https://sanfranciscobriefing.com/,"San Francisco Briefing - San Francisco Briefing: Your source for the stories, insights, and trends shaping the Bay Area.",,"San Francisco Briefing, Commercial Real Estate News, and Beverly Hills Weekly Mag Announce Exclusive Interview With Brian Ferdinand on Intentional Leadership and Market Discipline | San Francisco Briefing Exclusive: Brian Ferdinand on Building a Life With Intention | Long Island Roofing Costs in 2025: A Homeowner’s Essential Guide | Neutron Labs Calls Out Apple for Unfair App Store Ban, Urges Transparency | How to Repair a Leaky Roof | Navigating Roof Insurance Claims in Texas: A Guide to Deductibles and Depreciation | Dr. Steinbrech Announces 2024’s Top Male Celebrity Influences in Plastic Surgery | At the Pinnacle of Artistry: Danilo Bonazza, a Global Leader in Mosaic Art","editorial(14), new(12), staff(10), san(9), francisco(9), december(9), briefing(8), width(8), sidebar(8), block(8), york(6), contact(5), policy(5), brian(5), ferdinand(5), roof(5), february(5), january(5), stories(4), focus(4)","editorial staff(10), san francisco(9), francisco briefing(8), new york(6), staff december(6), brian ferdinand(5), york focus(4), local new(4), new highlights(4), opinion pieces(4), editorial process(4), breaking headlines(4), narrow width(4), default width(4), right sidebar(4)",583
https://sanfranciscobriefing.com/page/2/,"San Francisco Briefing - Page 2 of 16 - San Francisco Briefing: Your source for the stories, insights, and trends shaping the Bay Area.",,Ben Stranahan | Heather Marianna Connects Brands With Stars In Real Time | Meet Firas M. Isa The World’s Biggest Phony and CEO of Scam Crypto Dispensers | Maxim Lending Introduces Hard Money Loans for Real Estate Investors | “Revolutionize Customer Engagement with Advanced AI Chatbot Solutions from Industry Expert” | “Revolutionizing B2C Services Through Cutting-Edge Technology Innovation” | “Honda2WheelersIndia Accelerates Towards Success in the B2C Services Sector” | “Revolutionizing Dental Care with Advanced Technology: Dr. David Rosen Prioritizes Patient Comfort and Superior Treatment”,"editorial(14), staff(10), width(8), sidebar(8), block(8), november(8), new(7), david(6), rosen(6), contact(5), policy(5), care(5), january(5), san(4), francisco(4), briefing(4), stories(4), process(4), narrow(4), default(4)","editorial staff(10), staff november(8), david rosen(6), san francisco(4), francisco briefing(4), editorial process(4), narrow width(4), default width(4), right sidebar(4), left sidebar(4), dental care(4), new york(3), york focus(3), local new(3), new highlights(3)",546
https://sanfranciscobriefing.com/feed/,San Francisco Briefing,,"Key Themes From the Exclusive Interview Include: | About San Francisco Briefing | A Return to Markets After Two Decades of Building and Learning | From Startup Trader to Global Operator | Beyond Trading: Curiosity, Expansion, and Hard Lessons | The Reset: Choosing Craft Over Titles | Precision, Purpose, and a Broader Definition of Impact | A Bay Area Blueprint for the Modern Entrepreneur","roof(45), san(43), francisco(43), briefing(39), com(34), https(30), ferdinand(30), roofing(28), can(27), new(23), first(22), kapoor(21), rss(20), post(20), appeared(20), sanfranciscobriefing(19), insurance(18), neutron(17), homeowners(16), labs(16)","san francisco(43), francisco briefing(39), appeared first(20), first san(20), https sanfranciscobriefing(19), sanfranciscobriefing com(19), neutron labs(16), real estate(14), long island(13), commercial real(11), brian ferdinand(11), rss rss(10), roof insurance(9), insurance claims(9), jasmine kapoor(9)",5524
https://sanfranciscobriefing.com/comments/feed/,Comments for San Francisco Briefing,,,"comment-(20), https(12), sanfranciscobriefing(11), com(11), comment(10), wed(10), aug(10), http(10), easynews(10), main(10), testymo(8), mike(5), smythson(5), yes(5), sure(5), sed(5), perspiciatis(5), unde(5), omnis(5), iste(5)","https sanfranciscobriefing(11), sanfranciscobriefing com(11), comment- wed(10), wed aug(10), aug http(10), http easynews(10), easynews main(10), main comment-(10), mike smythson(5), smythson https(5), yes sure(5), sure sed(5), sed perspiciatis(5), perspiciatis unde(5), unde omnis(5)",339
https://sanfranciscobriefing.com/wp-content/uploads/blocksy/css/global.css?ver=95941,,,,"type-(85), theme-font-size(57), none(52), var(50), data-header(49), data-prefix(49), theme-palette-color-(44), data-id(36), theme-font-weight(34), data-footer(31), ct-header(29), data-row(25), theme-line-height(23), background-color(22), ct-footer(22), theme-text-transform(19), rgba(18), grid-template-columns(18), uppercase(17), ffffff(16)","data-header type-(49), var theme-palette-color-(36), data-footer type-(30), type- ct-header(29), theme-font-size theme-line-height(23), type- ct-footer(22), theme-font-weight theme-text-transform(18), theme-text-transform uppercase(17), uppercase theme-font-size(17), ct-header data-id(16), theme-font-weight theme-font-size(16), ct-footer data-row(15), theme-border-top none(14), none theme-border-bottom(14), theme-border-bottom none(14)",1290
https://sanfranciscobriefing.com/wp-content/plugins/coblocks/dist/style-coblocks-extensions.css?ver=3.1.17,,,,"wp-block-media-text(40), coblocks-spacing--(37), wp-block-media-(37), var(22), is-style-outline(18), wp-block-paragraph(16), width(13), margin-left(13), media(13), min-width(13), has-media-on-the-right(13), margin-top(12), url(12), data(12), image(12), svg(12), xml(12), is-style-card(12), calc(12), editor-styles-wrapper(12)","coblocks-spacing-- coblocks-spacing--(20), wp-block-media-text is-style-outline(18), var coblocks-spacing--(15), media min-width(13), has-media-on-the-right wp-block-media-(13), url data(12), data image(12), image svg(12), svg xml(12), wp-block-media-text is-style-card(12), calc var(12), is-style-outline wp-block-media-(12), editor-styles-wrapper wp-block-media-text(12), wp-block-media- margin-left(11), min-width wp-block-media-text(10)",673
https://sanfranciscobriefing.com/wp-content/plugins/coblocks/dist/style-coblocks-animation.css?ver=2677611078ee87eb3b1c,,,,"opacity(15), transform(12), components-coblocks-animation-toggle(10), components-button(9), body(9), amp(9), coblocks-animate(9), coblocks-icon-animation(8), keyframes(8), animation-duration(7), animation-name(7), hover(5), fill(4), bounce(4), ease-in(4), animation-fill-mode(4), forwards(4), translatex(4), clip-path(4), polygon(4)","amp coblocks-animate(9), components-coblocks-animation-toggle components-button(8), opacity transform(8), animation-duration animation-name(7), hover coblocks-icon-animation(5), animation-fill-mode forwards(4), transform translatex(4), clip-path polygon(4), polygon opacity(4), coblocks-icon-animation medium-circle(3), coblocks-icon-animation small-circle(3), components-button hover(3), components-button aria-expanded(3), aria-expanded true(3), true coblocks-icon-animation(3)",256
https://sanfranciscobriefing.com/wp-content/plugins/co-author/public/css/co-author-public.css?ver=1.0.0,,,,"all(1), css(1), public-facing(1), functionality(1), included(1), file(1)",public-facing functionality(1),11
https://sanfranciscobriefing.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1.5,,,,"form(12), response-output(11), display(7), none(6), position(5), border(5), opacity(5), input(5), type(5), width(4), margin(4), padding(4), border-color(4), spinner(4), hidden(3), height(3), relative(3), before(3), cursor(3), absolute(2)","response-output form(5), input type(5), response-output border-color(4), display none(3), position relative(3), position absolute(2), margin padding(2), padding border(2), none form(2), border solid(2), form submitting(2), top left(2), display inline-block(2), spinner visibility(2), hidden display(2)",207
